fName,dUtime,dStime,dUser,dSystem,dIdle,dNice,dIowait,dIrq,dSoftirq,dSteal,dGuest,dGuest_nice,sys_usage,proc_usage
goroutine-512,93.52,0.02,94.3,0.01,515.53,0,0.1,0,0,0,0,0,0.154619305835262,0.153360715528494
goroutine-1024,186.63,0.02,187.49,0.07,419.87,0,0.08,0,0,0,0,0,0.308736062193385,0.307239020352166
goroutine-1536,278.56,0.01,279.61,0.06,325.43,0,0.08,0,0,0,0,0,0.462127737470348,0.460309641291895
goroutine-2048,334.13,0.04,305.41,0.03,270,0,0.03,0,0,0,0,0,0.530763599621506,0.580691559459312
goroutine-2560,461.97,0.05,462.83,0.09,139.89,0,0.03,0,0,0,0,0,0.76789853155286,0.766407708219849
goroutine-3008,541.91,0.06,541.23,0.09,59.73,0,0,0,0,0,0,0,0.900624734424524,0.901705607948312
sleep-512,0.02,0.02,0.84,0.07,598.72,0,0.12,0,0,0,0,0,0.00151868163932768,6.66668518523663e-05
sleep-1024,0,0.04,0.3,0.04,599.32,0,0.11,0,0,0,0,0,0.000566806899466706,6.67223149693934e-05
sleep-1536,0.01,0.02,3.73,0.42,594.76,0,0.6,0,0,0,0,0,0.00701207098502347,5.00278241513634e-05
sleep-2048,0.01,0.03,0.45,0.02,599.12,0,0.12,0,0,0,0,0,0.000783584306252703,6.66944908180301e-05
sleep-2560,0,0.04,0.44,0.02,599.12,0,0.06,0,0,0,0,0,0.00076691819607216,6.66666666666667e-05
sleep-3008,0,0.02,0.63,0.05,598.94,0,0.11,0,0,0,0,0,0.00113328213089945,3.34448160535117e-05
sqrt-512,130.01,0.03,129.88,5.59,706.13,2.61,2.71,0,0,0,0,0,0.163065294399567,0.153541282894587
sqrt-1024,129.67,0.03,129.72,0.04,291.83,0,0.12,0,0,0,0,0,0.307703545134114,0.307557353584186
sqrt-1536,129.62,0.04,129.66,0.03,160.42,0,0.03,0,0,0,0,0,0.447265175040755,0.447158566962749
sqrt-2048,149.97,0.03,150.02,0.05,149.19,0,0.02,0,0,0,0,0,0.50143809255999,0.501207875546297
sqrt-2560,125.29,0.04,125.39,0.04,124.85,0,0.02,0,0,0,0,0,0.501119680116305,0.500723349295253
sqrt-3008,129.78,0.07,130.04,0.06,129.01,0,0.04,0,0,0,0,0,0.50202569284125,0.501064015088875